term,airplane,ant,apartment,arch,arm,barn,bear,bed,bee,beetle,bell,bicycle,bottle,butterfly,car,carrot,cat,celery,chair,chimney,chisel,church,closet,coat,corn,cow,cup,desk,dog,door,dress,dresser,eye,fly,foot,glass,hammer,hand,horse,house,igloo,key,knife,leg,lettuce,pants,pliers,refrigerator,saw,screwdriver,shirt,skirt,spoon,table,telephone,tomato,train,truck,watch,window
airplane,1,0.179489998,0.703176868,0.55488545,0.592817562,0.432050276,0.387679787,0.418784585,0.535421943,0.756388339,0.677424226,0.761805749,0.162302208,0.805637034,0.572460409,0.283530881,0.616944241,0.509262121,0.749549372,0.509936835,0.605096777,0.509695576,0.672413716,0.772495159,0.585923256,0.674640756,0.690408349,0.676419877,0.747675446,0.191350587,0.680601854,0.461249876,0.706173386,0.431824308,0.638712565,0.524040195,0.470279401,0.467426913,0.69828539,-0.110499307,0.316078497,0.260897384,0.291763374,0.706328542,0.259957264,0.294632149,0.47555682,0.582813739,0.475907669,0.182715897,0.572998563,0.737165868,0.484914542,0.791566626,0.83309052,0.768163216,0.798201802,0.530892894,0.647334105,0.748239192
ant,0.179489998,1,0.304740397,0.58539469,0.568679123,0.736743686,0.71316055,0.632119908,0.423319146,0.392811624,0.377394313,0.581509037,0.581733902,0.370828562,0.397522272,0.265747349,0.30633723,0.507916709,0.309664323,0.612661324,0.177391898,0.516193421,0.124814162,0.447998915,0.61551185,0.511081497,0.238458738,0.384982937,0.521931355,0.641763732,0.375352545,0.75008172,0.281839731,0.371583101,0.646123345,0.646652568,0.547977571,0.35025879,0.545808179,0.575695274,-0.107288281,0.423179103,0.460113576,0.396846744,0.771186094,0.427928183,0.640392237,0.577731202,0.729616396,0.655551785,0.710441671,0.002044541,0.638549785,0.359886215,0.327575621,0.160623899,0.192608892,0.660605428,0.464198713,0.293775858
apartment,0.703176868,0.304740397,1,0.779072032,0.390569415,0.686977906,0.567358166,0.577780741,0.528890052,0.641641702,0.699364984,0.731837467,0.432497811,0.63859783,0.712737201,0.174008524,0.513280928,0.568828839,0.73375126,0.657029642,0.425904283,0.795376067,0.766721695,0.705075851,0.559655176,0.566279578,0.694669588,0.78435585,0.615265747,0.522284764,0.616268138,0.600825259,0.680842854,0.312342918,0.549641675,0.638225281,0.509198635,0.234980688,0.759670253,0.2196552,0.330727868,0.424521767,0.278356521,0.615616663,0.415505648,0.344732489,0.4950115,0.734952742,0.537162112,0.390091884,0.669567828,0.493402468,0.526572736,0.741606004,0.70531447,0.515704961,0.750147169,0.692320413,0.590729958,0.804561283
arch,0.55488545,0.58539469,0.779072032,1,0.516833144,0.85859299,0.709058719,0.667147257,0.47475197,0.582378303,0.742533678,0.799024294,0.592824736,0.531660043,0.737224942,0.151128179,0.489289671,0.485684787,0.687676824,0.79800838,0.414163688,0.831008589,0.594358465,0.699377067,0.652393061,0.583165448,0.59046755,0.676663476,0.639334699,0.728827396,0.638374416,0.79968095,0.575366888,0.27391463,0.722728151,0.73798534,0.648911479,0.29539174,0.830190106,0.392703055,0.111341681,0.576698832,0.423996507,0.579317406,0.629815272,0.446369268,0.631475145,0.752943845,0.670509071,0.54835365,0.822999635,0.309280174,0.624034094,0.68371978,0.605901867,0.374452694,0.620669365,0.808569577,0.649784039,0.70482355
arm,0.592817562,0.568679123,0.390569415,0.516833144,1,0.495996679,0.564579661,0.608195123,0.492124025,0.612873693,0.461351295,0.675769266,0.300080716,0.641774496,0.432861029,0.479456982,0.455545461,0.598593531,0.477155866,0.522400167,0.362440385,0.434353987,0.270536053,0.598511313,0.656831852,0.697783594,0.468180847,0.550986526,0.728054832,0.331354775,0.503959088,0.654241399,0.527168756,0.523381685,0.781587062,0.593046517,0.551177615,0.500872166,0.544303357,0.199592617,0.113422097,0.201002757,0.465892004,0.599736446,0.510342817,0.376209355,0.682275374,0.538111666,0.679657316,0.493257714,0.66618931,0.325128384,0.659052136,0.57712512,0.613611691,0.488259003,0.438025565,0.603836517,0.645359608,0.465577709
barn,0.432050276,0.736743686,0.686977906,0.85859299,0.495996679,1,0.796486894,0.783876425,0.492186553,0.505027639,0.640216048,0.740121117,0.675144828,0.523023546,0.676839073,0.161501611,0.448030025,0.59951417,0.597445611,0.807245813,0.291625535,0.844349066,0.541735348,0.649845333,0.714235126,0.528314616,0.450165839,0.683460647,0.582271129,0.751754965,0.570072819,0.84087185,0.497100609,0.354676589,0.713476826,0.772188166,0.603942941,0.316975315,0.785214784,0.610240051,0.133550008,0.539378492,0.388260606,0.554808413,0.757857519,0.434584773,0.631286667,0.80724453,0.717257767,0.596553039,0.844899948,0.170847555,0.682008071,0.614205463,0.531440038,0.319123032,0.515192351,0.813548886,0.59196524,0.61177616
bear,0.387679787,0.71316055,0.567358166,0.709058719,0.564579661,0.796486894,1,0.670256588,0.511859186,0.52909643,0.489564935,0.69052179,0.487513401,0.538062386,0.580076171,0.342608998,0.375166562,0.598762548,0.416975787,0.620220343,0.24740431,0.705066705,0.362756912,0.52770441,0.655521717,0.565967971,0.395216062,0.620643524,0.605722053,0.574892647,0.395316976,0.75027989,0.425483703,0.465020016,0.679157853,0.711150833,0.497861468,0.237142004,0.647651758,0.583641332,-0.036345976,0.374027591,0.399039598,0.47608447,0.746205467,0.286762352,0.711531666,0.700360803,0.721251491,0.675107923,0.738001686,0.086514392,0.687737631,0.52820771,0.532484598,0.276750578,0.419480024,0.718582626,0.477664028,0.474675197
bed,0.418784585,0.632119908,0.577780741,0.667147257,0.608195123,0.783876425,0.670256588,1,0.41017821,0.429183925,0.464363593,0.609964839,0.567468966,0.548267905,0.493420711,0.229548541,0.354683169,0.643215711,0.53370411,0.712111664,0.179146215,0.743573593,0.447910606,0.560383756,0.642122964,0.565279194,0.342406989,0.721467372,0.541978413,0.569377593,0.444927913,0.76115652,0.493084855,0.519903337,0.712683648,0.645677912,0.480602571,0.310408472,0.64099951,0.549423123,0.234425846,0.267639647,0.279064432,0.5093642,0.706834099,0.369685508,0.604186387,0.738883988,0.673150707,0.53005298,0.714002195,0.129068455,0.633974084,0.555088289,0.481478506,0.252633771,0.478715888,0.726091143,0.542176108,0.529330758
bee,0.535421943,0.423319146,0.528890052,0.47475197,0.492124025,0.492186553,0.511859186,0.41017821,1,0.697576445,0.56640226,0.655534957,0.28291617,0.608092321,0.568406619,0.428452872,0.60365459,0.47065396,0.532174906,0.522305273,0.531545513,0.42011609,0.465114544,0.612625153,0.628469254,0.64153734,0.65937878,0.522390947,0.663164938,0.393976126,0.555929246,0.492366789,0.606389255,0.33321847,0.49554506,0.534567446,0.493219288,0.439111948,0.596014418,0.161903574,0.244617537,0.438273248,0.390697142,0.614277179,0.335137328,0.437228938,0.506084639,0.498257145,0.517641903,0.480970764,0.519318221,0.513888352,0.512523344,0.631937829,0.658293211,0.590869356,0.614395076,0.531394821,0.588857736,0.539288353
beetle,0.756388339,0.392811624,0.641641702,0.582378303,0.612873693,0.505027639,0.52909643,0.429183925,0.697576445,1,0.712748597,0.769264914,0.310186175,0.700724942,0.579571082,0.395015713,0.739353156,0.547681632,0.666702512,0.570260373,0.6672879,0.483620557,0.559195818,0.758459839,0.643126325,0.741757531,0.715578283,0.594004496,0.809402474,0.352184587,0.665442829,0.490148423,0.722591941,0.422355295,0.643020479,0.561252047,0.563050848,0.52038056,0.697309052,-0.009974655,0.310312271,0.395805608,0.416274116,0.69729407,0.328569491,0.386436604,0.592530094,0.593113828,0.587571792,0.425846608,0.614855009,0.681470816,0.553695246,0.751472259,0.865697914,0.743850868,0.739240968,0.554696445,0.6434047,0.678147927
