,word_1,word_2,neural_1_with_semantic_1,neural_1_with_semantic_2,neural_2_with_semantic_1,neural_2_with_semantic_2,correct_decoding
0,horse,bear,0.07189360452136873,0.014727825098705238,0.09700100698112743,0.11238033993278956,1
1,horse,cat,0.07189360452136873,0.015375579101526739,0.15250851614615452,0.18426487149054666,1
2,horse,dog,0.07189360452136873,-0.029138240508130464,0.1950735883598798,0.14807339738557918,0
3,horse,cow,0.07189360452136873,0.03024928905423331,0.21664186443697536,0.30092073783713136,1
4,horse,leg,0.07189360452136873,-0.0661039852580675,0.05396545352111764,0.2044395177108992,1
5,horse,arm,0.07189360452136873,-0.07967777032672968,0.036295941698620576,0.33357758214768135,1
6,horse,hand,0.07189360452136873,-0.09305280656448149,0.03853632193033851,0.4172724823521823,1
7,horse,foot,0.07189360452136873,-0.06554730088806347,0.010986743680018236,0.20213167601067988,1
8,horse,eye,0.07189360452136873,-0.0793648962898931,0.03148890669846276,0.23716365402071626,1
9,horse,apartment,0.07189360452136873,-0.08432198471425978,-0.0032923576958139786,0.11474622299884579,1
10,horse,igloo,0.07189360452136873,-0.17774115667167148,-0.04055331454804238,0.3572081419680525,1
11,horse,barn,0.07189360452136873,-0.08042974042858442,-0.028774395209673186,0.02712010649134139,1
12,horse,house,0.07189360452136873,-0.12517244833806196,-0.04370726498763851,0.0866876343869151,1
13,horse,church,0.07189360452136873,0.10399915740439608,-0.0676893785448458,0.3377146981028816,0
14,horse,door,0.07189360452136873,-0.08016401211225208,-0.08495499367741839,0.19092206901231928,1
15,horse,closet,0.07189360452136873,-0.0781321644057073,-0.035764164319111724,0.24836811505959142,1
16,horse,chimney,0.07189360452136873,-0.012243854131603324,-0.0678253077238174,0.1808235442694275,1
17,horse,window,0.07189360452136873,-0.05157304748529409,0.005902158305993138,0.12809534136415054,1
18,horse,arch,0.07189360452136873,0.15665603016331447,-0.055647044272146375,0.3304853851218481,0
19,horse,shirt,0.07189360452136873,0.009299373479429156,-0.03363293638353508,-0.017385306219260648,1
