,word_1,word_2,neural_1_with_semantic_1,neural_1_with_semantic_2,neural_2_with_semantic_1,neural_2_with_semantic_2,correct_decoding
0,horse,bear,0.4137235649277228,0.3778452639222871,0.5297271428792811,0.5437520106407733,1
1,horse,cat,0.4137235649277228,0.36973507790701965,0.35528522118657324,0.38843547199041867,1
2,horse,dog,0.4137235649277228,0.35680342342076,0.515764033416724,0.5072838375970989,0
3,horse,cow,0.4137235649277228,0.3566101963389263,0.5375413054225312,0.607124856684228,1
4,horse,leg,0.4137235649277228,-0.11554391497585174,0.07249389492902475,0.3268909829329146,1
5,horse,arm,0.4137235649277228,-0.12575271093979237,0.012508359012837315,0.41731215164945534,1
6,horse,hand,0.4137235649277228,-0.03767657873553223,0.22011375191828847,0.39525403755278027,1
7,horse,foot,0.4137235649277228,-0.03331262922612629,0.08755126539852284,0.43216243537999155,1
8,horse,eye,0.4137235649277228,-0.013180760751837897,0.07232059495270277,0.09919938541086608,1
9,horse,apartment,0.4137235649277228,-0.009985917825741986,0.00793568591457056,0.3299833713360011,1
10,horse,igloo,0.4137235649277228,-0.015063317051982078,-0.0025404014608878187,0.40054354524229263,1
11,horse,barn,0.4137235649277228,-0.010307168170197195,0.004250979405267884,0.3463015831283948,1
12,horse,house,0.4137235649277228,-0.022088837117944453,0.038629256556150265,0.36802098480695444,1
13,horse,church,0.4137235649277228,-0.1791056889967259,-0.09827091250547937,0.3140762808820958,1
14,horse,door,0.4137235649277228,-0.016765385015580482,-0.09014847812450694,0.32704359049933174,1
15,horse,closet,0.4137235649277228,0.0017141125137903196,-0.11622260189324435,0.35714327871571905,1
16,horse,chimney,0.4137235649277228,0.05698760973241836,-0.03343349531772064,0.36162352152796123,1
17,horse,window,0.4137235649277228,0.016355795268378305,-0.09261111166833652,0.3472480684715409,1
18,horse,arch,0.4137235649277228,-0.20764980257465893,-0.15560386605554472,0.40279544696549113,1
19,horse,shirt,0.4137235649277228,0.1791497792517748,0.30728502899291965,0.2706009777702356,0
