term,horse,bear,cat,dog,cow,leg,arm,hand,foot,eye,apartment,igloo,barn,house,church,door,closet,chimney,window,arch,shirt,pants,skirt,coat,dress,chair,dresser,bed,table,desk,ant,butterfly,fly,bee,beetle,knife,bottle,glass,spoon,cup,telephone,key,watch,refrigerator,bell,screwdriver,chisel,pliers,saw,hammer,tomato,celery,corn,carrot,lettuce,bicycle,car,train,truck,airplane
horse,0.0,0.09563376510434596,-0.00986708706082784,-0.05080203965659691,0.0932248444575019,-0.01995661314769348,0.1063966777771107,-0.07548086389507191,0.07598718323936704,-0.0007651757800897219,0.12490371991110161,0.11294946085954305,-0.04425267487040341,0.07201007274941884,0.09400054837294292,0.1205011533042567,0.09460477111333132,-0.057610426819835525,0.28574709320330605,0.14794140143830004,-0.06142915143744643,-0.045161233393765876,-0.018120554800720834,-0.039333541278811834,-0.037826484122610804,-0.016692404697532193,0.03485712817722042,0.09502943084570803,0.0056885795361988345,0.006537345991162069,-0.0800647741712901,-0.08445210853813945,-0.0028155555383571063,-0.1064712044366044,-0.05256886108670511,-0.0018323984114382297,0.008422205589312615,0.04353795359343937,0.13174931424336045,0.025233898368200447,0.15961194764161923,0.07094075863807225,-0.07021341416777094,-0.09877427011446438,0.04258136468864038,0.036130866064225664,-0.04378065853560387,0.05201442849846283,-0.03139777611380268,0.18804352784708678,-0.05163886673467233,-0.01995346620538252,0.11585556185859747,-0.06111323261960633,-0.011305116459283449,-0.10078172691222431,-0.07392095557178957,-0.02173479354448371,-0.08716816958654738,-0.07157003603258028
bear,0.09563376510434596,0.0,0.17815686741761794,0.14570830754324238,0.26702824790681756,-0.12262370952583218,-0.04247938002017804,-0.04081254667604273,-0.09284663829199269,-0.14432929003687917,-0.128560673940118,-0.13912680392378818,-0.21423699263341678,-0.14036585233202764,-0.15333519244101657,-0.1261180009070202,-0.12046775106999286,-0.15522167553994703,-0.10605717778191626,-0.08209903617573777,-0.15457062378833764,-0.13933471448394852,-0.024075640488021244,-0.14308153222952558,-0.08657797398028544,0.05596581800767175,0.13764906102015695,-0.09661093045685609,-0.14347418544234158,-0.15102964788235484,-0.0146007876279034,-0.04177519061571111,0.04932826656376421,-0.08915748909206445,-0.013107537669469482,-0.16780936488485765,-0.166685646304637,-0.13548976375181782,-0.10676668044965759,-0.09071705860056872,-0.11260000285040717,-0.009106535729233367,-0.09079792914550577,-0.1868866810112919,-0.012505962221948996,-0.10852374757367478,-0.21534895902741458,0.14102837022804993,-0.11387914550999356,-0.218662932719916,0.09918473574443532,0.12193340188248353,-0.003371873987901175,0.07220731073089759,0.10626501311000092,-0.14269644624502764,-0.18604662354500945,-0.14583947455829976,-0.22552201498211033,-0.23842478741292805
cat,-0.00986708706082784,0.17815686741761794,0.0,-0.015056373599847461,0.12470242940945853,0.108093339376516,0.24651183274294464,0.050765799140134904,0.08873863413077943,-0.08677584397048754,-0.053414135605049595,-0.07323116936190122,-0.1253939159088363,0.010490950853600411,-0.0004943380206365866,-0.060857355492621834,0.00010131706911653549,-0.11164813746592483,0.09558496790328719,0.0271346641489707,-0.09452981950407491,-0.11294500114243589,-0.02696961646985796,-0.07767738026458004,-0.07379770547694686,0.20037609054827166,0.06453860429335434,-0.03215586467304621,0.010320632450121159,-0.04161860387338523,-0.13047322286468344,-0.008497738149919387,0.04091804634785934,-0.14664889654757196,-0.09462379258787146,0.16056431921865633,0.06611161019897926,0.21860219286626215,0.1258485595871316,0.1541862195420537,0.024892207285398094,0.223782247589424,0.10913130039532415,-0.1585892445441105,0.13240385113200048,0.04359339078536917,-0.0714930894966943,0.06115557171325203,0.082108132903565,0.06950350146571749,0.07819858628414367,0.09922620079981659,0.1018504389683711,0.05813667175232162,0.10098722270305344,0.11961095737811323,0.20617659745407346,0.07453304727416044,0.19730675674743903,0.052786760867279736
dog,-0.05080203965659691,0.14570830754324238,-0.015056373599847461,0.0,0.17528627849252343,0.2654489371010017,0.1922037880227141,0.05774019859916768,0.2269762640529498,-0.001738238436018169,-0.03455090737670763,-0.01637065461615783,-0.11047448429651774,-0.033203771730166864,-0.016202090943097214,-0.01953402329018261,0.07665180591215137,-0.06300430037503335,0.14065224920082597,0.07928711922957454,-0.07450643130950929,-0.0545454492780143,0.009559995855131675,-0.04524659818776766,-0.03181480663972214,0.23940175990296697,0.1416022023218182,0.003330189611122747,0.050425124269924626,0.023469162405006738,0.03734529032221734,0.10229192075273941,0.09342451898487136,0.005800472322567973,0.07015278819183324,0.10223858764563487,0.03827939898299515,0.14452630760580987,0.08551135749794225,0.13151915330765462,0.06955752196049236,0.24475404414437607,0.05071939354522437,-0.15411308877233976,0.16610554034327485,0.044879337033856714,-0.02491041454054166,0.1004675734742898,0.12356429306738381,0.09860757537882114,0.07189469685883765,0.11418799408548796,-0.03405454085068216,0.052001402397567786,0.10470498908940518,0.013539056567680174,-0.017374444330395256,0.09454503009333215,-0.03138681102360996,-0.05607413716819143
cow,0.0932248444575019,0.26702824790681756,0.12470242940945853,0.17528627849252343,0.0,-0.1474957179641564,-0.10399758372322976,-0.005855548215562334,-0.13896019701928464,-0.15139372557130826,-0.11703221262561636,-0.16762366034984966,-0.2406738541910296,-0.10532121377505343,-0.15397273748608498,-0.12286776248635517,-0.17151925987591554,-0.19339722363391548,-0.08419461158712,-0.10890750497459128,-0.14584426262678463,-0.14456206950727624,0.007257438268624905,-0.13446864764674932,-0.11350519613496968,0.07302755506359204,0.10285913613766251,-0.07156734976837098,-0.14113326156027617,-0.1480894792151392,-0.03167457993770306,0.11116044456744562,-0.0022023662071585237,-0.029965516511946566,-0.03585655112151087,-0.19171828631626336,-0.15851098895982518,-0.12034807490594501,-0.1363464213437212,-0.10869770405982238,-0.12315023338549957,0.03357733711685673,-0.03336371143971251,-0.19374164353970352,0.011647817837374674,-0.1344363347630772,-0.15563483616101753,0.09488532361582003,-0.1463902188381196,-0.13992306385425912,0.005456848540030257,0.03172462378490948,-0.09284662390594778,0.030555035932671615,0.013948067409904397,-0.14242398722110106,-0.15637200698405052,-0.17283881464577877,-0.23951489306343537,-0.20379147976923356
leg,-0.01995661314769348,-0.12262370952583218,0.108093339376516,0.2654489371010017,-0.1474957179641564,0.0,0.12008316518069473,0.0013812296632641496,0.09732416009931044,-0.06472762619407202,0.029167546386298593,0.025412617359003353,0.01408705635891172,0.05538055646447615,0.06772247581510427,0.046761966808759325,0.09085553465117868,-0.057064784135134494,0.0989700702610532,0.0011814009053552343,0.02959973665741411,0.02380254872664589,0.23639715168213116,0.16003141504356777,0.12955013664024673,0.1965612927894217,0.07637066198617692,0.035961563247104755,-0.0038691414990588147,0.011734487139428151,-0.19928271741074932,0.1260552874217995,0.09836369434226633,-0.16004436428342228,0.02118804774072569,0.07021695080371715,0.055858885868402486,0.12500679833913775,0.08867506696716743,0.03273555708319287,0.11295629276598229,0.22075451964786497,0.07856595707184011,-0.0702156852301059,0.22189490957451008,0.0064156163116998455,-0.03684934333438883,0.0308532812279263,0.10626783536027506,0.10312476689604966,0.04160712131186284,0.0842906666199259,-0.11437472301272944,0.0443605912061682,-0.00023221604800882645,0.018770727717977165,0.05300812335089422,0.14154657501867263,0.017505924800118366,-0.008576863619912167
arm,0.1063966777771107,-0.04247938002017804,0.24651183274294464,0.1922037880227141,-0.10399758372322976,0.12008316518069473,0.0,-0.06630672671384541,0.10925069970109402,-0.002257605568996235,0.19679046729447436,0.20044713127608982,0.1961376552529821,0.1793592818116646,0.1658385110144388,0.142756358183751,0.1492900997762645,-0.02289911688665025,0.1097135114264921,0.19327232405222294,0.07168003053980332,0.1071897411218593,0.26993523052663426,0.1402729258446327,0.1442788120558065,0.19263971775268163,0.07325180386606445,0.10579975521257556,0.04917960948906719,-0.016390617979894495,-0.17148239526594078,-0.094401581113292,0.13286100567325942,-0.0028615284099808846,0.05820381399035257,0.23176418427544754,0.03599075040755262,0.14640067149953206,0.08830719676759802,0.13999170752230772,0.10803061678801751,0.21600424579098776,0.18431670712229575,-0.07306215871311594,0.22611165472085426,-0.019216485775113257,-0.048689055425751526,-0.009920803072893447,0.1522679791162025,0.06417610724757705,-0.04280542056104136,-0.0264998368942988,-0.0622069718375417,-0.04072582153190518,-0.03484130448198408,0.030424484928954998,0.0595714486190263,0.17500520529626928,0.03838349507243066,0.0268493856051083
hand,-0.07548086389507191,-0.04081254667604273,0.050765799140134904,0.05774019859916768,-0.005855548215562334,0.0013812296632641496,-0.06630672671384541,0.0,0.13187107629381856,-3.7024864302792615e-05,-0.06622802834535035,0.005065994841896182,0.09163837205687253,0.11104131240769344,0.08299017698099986,-0.13838860090234129,0.02113407846817017,-0.09116960057222079,0.0060442158529533385,0.015901443775464763,-0.16596133744853547,-0.12042257270529422,-0.08924124673614264,-0.11004620737817605,-0.12878397489192428,0.0022498159615710334,0.005762398842905303,-0.0424959698948395,-0.09347631557368064,-0.09875412256093485,-0.04908129348393864,-0.055379839779925,0.04568766548907899,-0.037377356619182844,0.006272661552676917,-0.06162143416914989,-0.0727181868885628,-0.008249389078499925,-0.01358502012500995,0.034102876563687046,0.014582284721702088,0.07473285181417844,-0.0037994929096345498,-0.17831949692834148,0.15959361665941563,-0.08607316561137934,-0.09847919938568961,-0.04928314905846565,0.028127864376536582,-0.018475789921689634,0.03594377288395312,0.07375321451708272,-0.06812783306124548,0.17100143435774318,0.051497907454870484,-0.027693443623467484,-0.048389276533948866,0.16376909770982517,-0.030410098845912392,-0.05468270725586044
foot,0.07598718323936704,-0.09284663829199269,0.08873863413077943,0.2269762640529498,-0.13896019701928464,0.09732416009931044,0.10925069970109402,0.13187107629381856,0.0,0.12470684024895007,0.03944712694101937,0.09710931896498909,0.07303112205237827,0.12537736630253948,0.09761762808447905,0.09429484016008882,0.057832297266940946,-0.13753610039639552,0.11591013315790166,0.08289722472560934,-0.0892250217673417,-0.09662495206010935,-0.04004333686878758,-0.012924688730889367,-0.032346408387666004,0.20040310223936852,0.07997711963050258,0.24599877926815483,0.015170572170406627,-0.014622111779756697,-0.1156946873597805,0.1276228592061075,0.08636564167532523,-0.048741325164138316,-0.007806347575220696,0.09848410143883968,0.05912994897349133,0.09072792005843477,0.11269223479824753,0.10724748290362018,0.1103714546249982,0.22056857962836984,0.04000151988781542,-0.11444833362134821,0.23022498348508647,0.034637103563881055,-0.01704256726895159,0.06568194134283933,0.12768560582192823,0.11936617533537941,-0.025544386216879378,-0.008702242470020605,-0.10482923249443127,-0.009487738276083957,-0.03292359293376135,-0.0014470009982351373,0.017629910616389854,0.10352785063656356,-0.0198967555799765,-0.02720233653314086
eye,-0.0007651757800897219,-0.14432929003687917,-0.08677584397048754,-0.001738238436018169,-0.15139372557130826,-0.06472762619407202,-0.002257605568996235,-3.7024864302792615e-05,0.12470684024895007,0.0,0.06555349688449752,0.030615990003798887,0.05675741434784709,0.05325416416962103,0.07144481369271971,0.04789970848662273,-0.014891654386684161,-0.011902149294070408,0.1429550044556025,0.06084804730574245,-0.018465060828620983,-0.024666747254844856,0.012160241682812156,0.06780451337391658,0.011236775492243445,-0.012374206897224238,0.018511375608883496,0.11239680695350274,-0.013843266299840895,-0.05137994831450521,-0.20489639396111858,-0.15750730376143796,0.17654117599013652,-0.20989753559916047,-0.0374575150914771,-0.06561276634704238,-0.006021443811370819,-0.0057109639577563875,0.05665185158315822,0.33272563454569415,0.08103500208100523,0.236982698982257,-0.18678292097699567,-0.019601926345453324,0.2708855426353516,-0.0062601654052582,-0.03143796655536424,0.0122438579682419,-0.09206524785299541,0.04683758758541212,-0.06058986744134648,-0.025584299181445835,-0.05063964515483105,-0.009174566323329247,-0.05348922458957317,0.06360895892200646,0.03795739060392145,0.08202008701921826,0.009385310777039524,-0.05660781320426467
